ID_SAEB;ID_SERIE;TP_DISCIPLINA;NU_BLOCO;NU_POSICAO;ID_ITEM;NU_DESCRITOR_HABILIDADE;TX_GABARITO;TP_ITEM;TP_ITEM_MODELO;A;B;C;B1;B2;B3
2023;2;MT;7;1;142178;2G2.1;A/B;Resposta Construída;MRG;0.561436071;;;-2.402389584;0.002955217;
2023;2;MT;7;2;132369;2A1.4;A;Resposta Objetiva;M3PL;;;;;;
2023;2;MT;7;3;114843;2M2.2;C;Resposta Objetiva;M3PL;1.964881911;0.630741971;0.145550419;;;
2023;2;MT;7;4;132653;2N2.2;D;Resposta Objetiva;M3PL;2.305851093;0.392953866;0.138996001;;;
2023;2;MT;7;5;132966;2M1.5;D;Resposta Objetiva;M3PL;1.414086433;-0.97251099;0.14794784;;;
2023;2;MT;7;6;117257;2E1.3;C;Resposta Objetiva;M3PL;1.399418322;-0.623700053;0.140252323;;;
2023;2;MT;7;7;133413;2G1.1;B;Resposta Objetiva;M3PL;1.297161385;-1.822728602;0.184155049;;;
2023;2;MT;7;8;143901;2N1.1;B;Resposta Objetiva;M3PL;0.562374045;-1.172471875;0.184504959;;;
2023;2;MT;7;9;117173;2N1.8;A;Resposta Objetiva;M3PL;1.94174968;-0.184183262;0.241081584;;;
2023;3;LP;1;1;110072;D1;A;Resposta Objetiva;M3P;1.41671;1.17117;0.31678;;;
2023;3;LP;1;2;110080;D2;E;Resposta Objetiva;M3P;1.3412;-0.30445;0.14651;;;
2023;3;LP;1;3;34309;D5;D;Resposta Objetiva;M3P;0.51277;0.662;0.19538;;;
2023;3;LP;1;4;110214;D11;C;Resposta Objetiva;M3P;1.07495;-0.65094;0.18577;;;
2023;3;LP;1;5;110413;D3;D;Resposta Objetiva;M3P;0.79183;0.45028;0.16492;;;
2023;3;LP;1;6;109587;D14;C;Resposta Objetiva;M3P;1.52951;0.74126;0.16864;;;
2023;3;LP;1;7;109141;D15;C;Resposta Objetiva;M3P;1.2464;0.93808;0.18301;;;
2023;3;LP;1;8;65731;D16;A;Resposta Objetiva;M3P;1.07112;0.17551;0.15641;;;
2023;3;LP;1;9;109919N;D11;C;Resposta Objetiva;M3P;1.27274;-0.89125;0.04169;;;
2023;3;LP;1;10;110636;D9;E;Resposta Objetiva;M3P;0.94714;0.76756;0.1121;;;
2023;3;LP;1;11;110338;D13;C;Resposta Objetiva;M3P;0.9071;1.67375;0.16462;;;
2023;3;LP;1;12;109593;D15;B;Resposta Objetiva;M3P;0.5585;1.02563;0.13875;;;
2023;3;LP;1;13;110132;D10;C;Resposta Objetiva;M3P;0.50209;2.97568;0.16556;;;
2023;3;LP;2;1;110199;D2;E;Resposta Objetiva;M3P;0.96205;0.74523;0.14443;;;
2023;3;LP;2;2;110772;D6;E;Resposta Objetiva;M3P;0.6608;0.30714;0.08056;;;
2023;3;LP;2;3;110434;D8;A;Resposta Objetiva;M3P;1.05347;1.04461;0.11994;;;
2023;3;LP;2;4;110873;D4;E;Resposta Objetiva;M3P;0.81381;1.7644;0.08899;;;
2023;3;LP;2;5;110834N;D7;C;Resposta Objetiva;M3P;0.5126;-0.07811;0.02014;;;
2023;3;LP;2;6;110841;D18;A;Resposta Objetiva;M3P;0.92746;1.20684;0.16906;;;
2023;3;LP;2;7;109619;D9;D;Resposta Objetiva;M3P;0.56077;2.0464;0.17165;;;
2023;3;LP;2;8;110067;D10;C;Resposta Objetiva;M3P;0.74922;0.47253;0.21471;;;
2023;3;LP;2;9;111112;D13;B;Resposta Objetiva;M3P;1.0489;0.46306;0.1634;;;
2023;3;LP;2;10;111192;D10;X;Resposta Objetiva;M3P;;;;;;
2023;3;LP;2;11;110519;D14;C;Resposta Objetiva;M3P;0.92968;0.72105;0.13826;;;
2023;3;LP;2;12;111117;D19;B;Resposta Objetiva;M3P;0.84149;0.71043;0.11835;;;
2023;3;LP;2;13;110405;D5;B;Resposta Objetiva;M3P;0.82794;-0.80117;0.16522;;;
2023;3;LP;3;1;110460;D3;B;Resposta Objetiva;M3P;0.85515;0.49572;0.20296;;;
2023;3;LP;3;2;109501;D7;D;Resposta Objetiva;M3P;1.36954;0.32235;0.14251;;;
2023;3;LP;3;3;110761;D9;B;Resposta Objetiva;M3P;1.14159;1.06305;0.20666;;;
2023;3;LP;3;4;110414;D9;E;Resposta Objetiva;M3P;0.85681;0.16849;0.13725;;;
2023;3;LP;3;5;110502N;D2;D;Resposta Objetiva;M3P;1.25;-0.28642;0.05256;;;
2023;3;LP;3;6;110427;D5;B;Resposta Objetiva;M3P;0.92766;0.34274;0.27777;;;
2023;3;LP;3;7;65594;D2;D;Resposta Objetiva;M3P;0.70762;0.24866;0.17526;;;
2023;3;LP;3;8;110458;D4;C;Resposta Objetiva;M3P;0.71119;0.04328;0.12165;;;
2023;3;LP;3;9;109245;D3;B;Resposta Objetiva;M3P;1.47394;0.40653;0.26706;;;
2023;3;LP;3;10;33926N;D13;C;Resposta Objetiva;M3P;1.13046;1.31185;0.21846;;;
2023;3;LP;3;11;110932;D10;A;Resposta Objetiva;M3P;0.45274;3.00308;0.20307;;;
2023;3;LP;3;12;110698;D18;B;Resposta Objetiva;M3P;0.55488;0.16048;0.15229;;;
2023;3;LP;3;13;110037;D17;C;Resposta Objetiva;M3P;0.46522;1.09402;0.15829;;;
2023;3;LP;4;1;110746;D1;B;Resposta Objetiva;M3P;0.79411;0.2058;0.12993;;;
2023;3;LP;4;2;109735;D15;A;Resposta Objetiva;M3P;1.23423;-0.05202;0.16453;;;
2023;3;LP;4;3;110824;D7;B;Resposta Objetiva;M3P;0.46405;1.89754;0.17269;;;
2023;3;LP;4;4;109819;D16;E;Resposta Objetiva;M3P;1.07384;-0.53793;0.1227;;;
2023;3;LP;4;5;110555;D8;D;Resposta Objetiva;M3P;1.22649;0.17291;0.12565;;;
2023;3;LP;4;6;109966;D1;E;Resposta Objetiva;M3P;1.18926;0.09656;0.09913;;;
2023;3;LP;4;7;109422;D11;C;Resposta Objetiva;M3P;0.57568;-0.32586;0.16548;;;
2023;3;LP;4;8;109579;D12;A;Resposta Objetiva;M3P;1.13296;-0.16874;0.21194;;;
2023;3;LP;4;9;111017;D19;D;Resposta Objetiva;M3P;1.07293;0.4482;0.17283;;;
2023;3;LP;4;10;110071;D2;C;Resposta Objetiva;M3P;0.72759;0.47487;0.19018;;;
2023;3;LP;4;11;109616;D12;A;Resposta Objetiva;M3P;0.58674;-0.7527;0.00392;;;
2023;3;LP;4;12;109638;D10;E;Resposta Objetiva;M3P;0.78043;0.64773;0.10302;;;
2023;3;LP;4;13;109640;D19;D;Resposta Objetiva;M3P;0.69843;0.84117;0.10371;;;
2023;3;LP;5;1;109203;D3;E;Resposta Objetiva;M3P;1.02975;-0.54042;0.13085;;;
2023;3;LP;5;2;110656;D7;A;Resposta Objetiva;M3P;0.65034;0.22581;0.16644;;;
2023;3;LP;5;3;110704;D11;B;Resposta Objetiva;M3P;0.45439;2.41126;0.22004;;;
2023;3;LP;5;4;110579;D13;C;Resposta Objetiva;M3P;0.77806;0.67172;0.16045;;;
2023;3;LP;5;5;111085;D19;A;Resposta Objetiva;M3P;0.69422;0.57139;0.14018;;;
2023;3;LP;5;6;109717;D12;C;Resposta Objetiva;M3P;1.04065;1.39016;0.21719;;;
2023;3;LP;5;7;70075N;D18;D;Resposta Objetiva;M3P;1.01906;-0.50997;0.1933;;;
2023;3;LP;5;8;34412;D7;B;Resposta Objetiva;M3P;0.52349;0.76495;0.23089;;;
2023;3;LP;5;9;34726;D6;C;Resposta Objetiva;M3P;0.9287;0.9258;0.19773;;;
2023;3;LP;5;10;110635;D17;D;Resposta Objetiva;M3P;0.56604;0.50353;0.12786;;;
2023;3;LP;5;11;33925;D14;E;Resposta Objetiva;M3P;0.96897;1.39725;0.13705;;;
2023;3;LP;5;12;109232;D15;C;Resposta Objetiva;M3P;1.1835;-0.21089;0.25928;;;
2023;3;LP;5;13;109200N;D16;A;Resposta Objetiva;M3P;1.38388;0.62325;0.14619;;;
2023;3;LP;6;1;110373;D4;E;Resposta Objetiva;M3P;1.53325;-0.02515;0.09172;;;
2023;3;LP;6;2;109502;D6;B;Resposta Objetiva;M3P;0.66078;1.64582;0.1593;;;
2023;3;LP;6;3;110518;D8;E;Resposta Objetiva;M3P;0.88033;0.89556;0.11492;;;
2023;3;LP;6;4;109592;D10;B;Resposta Objetiva;M3P;0.61307;0.33385;0.19463;;;
2023;3;LP;6;5;111004N;D21;C;Resposta Objetiva;M3P;1.34543;0.92189;0.14159;;;
2023;3;LP;6;6;109258;D15;C;Resposta Objetiva;M3P;0.97952;2.3047;0.12274;;;
2023;3;LP;6;7;111333;D15;D;Resposta Objetiva;M3P;0.90108;0.28629;0.10015;;;
2023;3;LP;6;8;65760;D5;B;Resposta Objetiva;M3P;1.14955;-1.00369;0.18157;;;
