ID_SAEB;ID_REGIAO;ID_UF;ID_MUNICIPIO;ID_AREA;ID_ESCOLA;IN_PUBLICA;ID_LOCALIZACAO;ID_TURMA;ID_SERIE;ID_ALUNO;IN_SITUACAO_CENSO;IN_PREENCHIMENTO_LP;IN_PREENCHIMENTO_MT;IN_PRESENCA_LP;IN_PRESENCA_MT;ID_CADERNO_LP;ID_BLOCO_1_LP;ID_BLOCO_2_LP;NU_BLOCO_1_ABERTA_LP;NU_BLOCO_2_ABERTA_LP;ID_CADERNO_MT;ID_BLOCO_1_MT;ID_BLOCO_2_MT;NU_BLOCO_1_ABERTA_MT;NU_BLOCO_2_ABERTA_MT;TX_RESP_BLOCO1_LP;TX_RESP_BLOCO2_LP;CO_CONCEITO_Q1_LP;CO_CONCEITO_Q2_LP;CO_RESPOSTA_TEXTO;CO_CONCEITO_SEQUENCIA;CO_CONCEITO_COESAO;CO_CONCEITO_PONTUACAO;CO_CONCEITO_SEGMENTACAO;CO_TEXTO_GRAFIA;TX_RESP_BLOCO1_MT;TX_RESP_BLOCO2_MT;CO_CONCEITO_Q1_MT;CO_CONCEITO_Q2_MT;IN_PROFICIENCIA_LP;IN_PROFICIENCIA_MT;IN_AMOSTRA;ESTRATO;PESO_ALUNO_LP;IN_ALFABETIZADO;PROFICIENCIA_LP;ERRO_PADRAO_LP;PROFICIENCIA_LP_SAEB;ERRO_PADRAO_LP_SAEB;PESO_ALUNO_MT;PROFICIENCIA_MT;ERRO_PADRAO_MT;PROFICIENCIA_MT_SAEB;ERRO_PADRAO_MT_SAEB
2023;1;11;6322171;2;61470222;1;2;1601981;2;49392484;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;CCDBCBDA;ACBBDABA;E;A;TX;C;C;C;C;B;CBCBACACA;CBABACDCB;0;20;1;1;1;11322;5,60471E+15;0;-984554;267023;693672335;14794779;5,41176E+15;11983;451859;755414685;25543451
2023;1;11;6322171;2;61470222;1;2;1601981;2;49392485;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACAACCDA;CCCAABBB;G;G;NL;*;*;*;*;*;BBBBADABA;CBACCBCCA;0;20;1;1;1;11322;5,60471E+15;0;-1594237;37516;659892067;20786211;5,41176E+15;-1061814;434786;688616742;24578323
2023;1;11;6322171;2;61470222;1;2;1601981;2;49392486;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;DCCBCCAA;ACDADBCB;A;E;NL;*;*;*;*;*;DDBBDAABC;CBABDBABA;0;20;1;1;1;11322;5,60471E+15;0;-747807;324607;706789638;17985265;5,41176E+15;-960184;463376;694361844;26194484
2023;1;11;6322171;2;61470222;1;2;1601981;2;49392487;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBCBAA;DCDADBAB;A;A;TX;A;A;C;B;A;CBBBDCABA;CBABDCAAB;0;20;1;1;1;11322;5,60471E+15;1;806881;37379;792929202;20710336;5,41176E+15;227072;430757;761477048;24350556
2023;1;11;6322171;2;61470222;1;2;1601981;2;49392488;1;0;0;0;0;19;5;1;5;1;19;5;1;5;1;........;........;.;.;BR;.;.;.;.;.;.........;.........;.;.;0;0;1;11322;;0;;;;;;;;;
2023;1;11;6322171;2;61470222;1;2;1601981;2;49392489;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;AABBABAB;BCBBBBAB;B;E;NL;*;*;*;*;*;DDBBDAABA;CBABBBBBB;0;20;1;1;1;11322;5,60471E+15;0;-1365026;315849;672591791;17500052;5,41176E+15;-578245;439099;715952743;24822122
2023;1;11;6322171;2;61470222;1;2;1601981;2;49392490;1;0;0;0;0;19;5;1;5;1;19;5;1;5;1;........;........;.;.;BR;.;.;.;.;.;.........;.........;.;.;0;0;1;11322;;0;;;;;;;;;
2023;1;11;6322171;2;61470222;1;2;1601981;2;49392491;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBCCAD;DCDADAAC;A;A;TX;B;A;C;B;B;CBBBDCABA;CBABACBBB;22;20;1;1;1;11322;5,60471E+15;1;453084;334116;773326599;18512151;5,41176E+15;107248;505843;809267678;28595139
2023;1;11;6322171;2;61470222;1;2;1601981;2;49392492;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBABAD;DCDADAAB;B;A;TX;B;A;B;A;A;CBBBDCAAC;BBABADABB;22;20;1;1;1;11322;5,60471E+15;1;159156;301123;757041114;16684125;5,41176E+15;249621;404776;762751732;22881845
2023;1;11;6322171;2;61470222;1;2;1601981;2;49392493;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBCAAD;DCDADAAC;A;A;TX;B;A;A;B;A;CBBBDCABA;CBBBACDBB;0;20;1;1;1;11322;5,60471E+15;1;688515;35083;786370981;19438224;5,41176E+15;904282;50472;799759492;2853166
